spot,x,y,luminosity,error,T,v,v_fin,phase,detected
57.0,828.55,671.55,170.856,3.7478,20.0,58.3,7.0,annealing_T=100_h=5,True
57.0,833.83,667.0,471.435,5.29023,20.0,58.3,7.0,annealing_T=75_h=25,True
57.0,834.73,669.89,440.639,4.76883,20.0,58.3,7.0,annealing_T=75_h=5,True
57.0,830.8,669.14,381.296,4.59809,20.0,58.3,7.0,before_annealing,True
58.0,829.35,828.95,47.6571,2.7967,20.0,58.3,7.0,annealing_T=100_h=5,True
58.0,835.91,824.54,56.544,2.66787,20.0,58.3,7.0,annealing_T=75_h=25,True
58.0,835.92,827.76,53.9618,1.72043,20.0,58.3,7.0,annealing_T=75_h=5,True
58.0,831.89,826.74,54.2519,2.74923,20.0,58.3,7.0,before_annealing,True
59.0,830.35,888.12,2303.72,7.8975,20.0,58.3,7.0,annealing_T=100_h=5,True
59.0,837.53,883.42,2358.04,7.75408,20.0,58.3,7.0,annealing_T=75_h=25,True
59.0,837.08,886.41,3148.22,8.45173,20.0,58.3,7.0,annealing_T=75_h=5,True
59.0,832.58,885.53,3173.55,8.76629,20.0,58.3,7.0,before_annealing,True
60.0,848.84,888.12,85.8216,3.38503,20.0,58.3,7.0,annealing_T=100_h=5,True
60.0,855.71,883.81,88.1404,3.03336,20.0,58.3,7.0,annealing_T=75_h=25,True
60.0,855.04,886.73,103.899,3.18653,20.0,58.3,7.0,annealing_T=75_h=5,True
60.0,850.95,885.71,129.745,3.81135,20.0,58.3,7.0,before_annealing,True
61.0,857.39,477.36,108.473,3.00285,20.0,58.3,7.0,annealing_T=100_h=5,True
61.0,861.36,472.41,108.417,3.00505,20.0,58.3,7.0,annealing_T=75_h=25,True
61.0,863.05,475.62,214.706,3.53478,20.0,58.3,7.0,annealing_T=75_h=5,True
61.0,859.74,474.9,202.554,3.45292,20.0,58.3,7.0,before_annealing,True
62.0,860.97,671.7,514.345,5.28939,20.0,58.3,7.0,annealing_T=100_h=5,True
62.0,866.15,666.88,556.325,5.60608,20.0,58.3,7.0,annealing_T=75_h=25,True
